timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,maxabs,0.1438461466749954,0.37927054548830363,0.3537432825339661,10.622218414816087
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,maxabs,0.11659295835662191,0.34145711056679123,0.3198761202131707,3.8853167764444976
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,maxabs,0.0005779550357899346,0.024040695409865635,0.017710604453448697,0.44529787237119284
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,minmax,10.889101820012009,3.2998639093168687,2.575938257887193,0.4152113679230807
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,minmax,0.0002136346848146895,0.014616247289050959,0.012391528322637587,0.20483353853292824
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,minmax,0.07715971167685898,0.2777763699036673,0.25939246100240054,7.863317909612081
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,minmax,0.05350397022901706,0.23130925236362046,0.21652206135370086,2.6612190146754466
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,minmax,0.000805376195276988,0.028379150714512018,0.01763673640586406,0.31227200176464104
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,maxabs,10.95538716293903,3.309892318934111,2.584726950710055,0.41160972012750796
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,maxabs,0.00214735921308389,0.04633960739026487,0.043030804344570586,0.6745981960180374
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,maxabs,0.14384707385792853,0.37927176781027155,0.3537297059539377,10.621916624682822
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,maxabs,0.11664662730896588,0.34153568965624354,0.31995138279323837,3.886136449696726
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,maxabs,0.0005780578581849491,0.02404283382184698,0.017712733827170965,0.44538149136746924
